dataset,alpha,method,round,mean_percent,sample_sd_percent,n_seeds
pathmnist,0.5,fedavg,30,66.42907117612853,7.5397603654357646,3
pathmnist,0.5,fedavg,45,68.51724968286834,8.954804895960557,3
pathmnist,0.5,fedavg,60,70.55973960156828,11.962945385007131,3
pathmnist,0.5,fedavg,75,71.10936133583866,8.073319902320721,3
pathmnist,0.5,fedavg,90,76.17299345264684,4.861397868404484,3
pathmnist,0.5,fedavg,105,72.36574294009661,6.689186992264625,3
pathmnist,0.5,fedavg,120,74.9521999952926,11.624863881085666,3
pathmnist,0.5,fedavg,135,79.24556438263748,8.23548543259649,3
pathmnist,0.5,fedavg,150,79.28990781307702,7.1434225461312275,3
pathmnist,0.5,fedavg,165,78.9285152345159,8.471652161283734,3
pathmnist,0.5,fedavg,180,78.27664859481072,5.016826637620167,3
pathmnist,0.5,fedavg,195,81.5647894898697,6.390654455867511,3
pathmnist,0.5,fedavg,210,81.4737135152863,6.530267482478879,3
pathmnist,0.5,fedavg,225,81.45360827089156,6.403004883464731,3
pathmnist,0.5,fedavg,240,81.58329515917053,7.106931445822688,3
pathmnist,0.5,fedavg,255,81.26725982321206,6.843718274226364,3
pathmnist,0.5,fedavg,270,81.88640986001766,6.7792748871892075,3
pathmnist,0.5,fedavg,285,81.84756875903774,6.50999606963697,3
pathmnist,0.5,fedavg,300,81.28905920320815,6.668120751214072,3
pathmnist,0.5,fedpac,1,26.54905482775505,8.133506997002767,3
pathmnist,0.5,fedpac,15,62.89684087825816,6.953575185597968,3
pathmnist,0.5,fedpac,30,68.55795090412266,10.027926466408989,3
pathmnist,0.5,fedpac,45,73.32771031446043,7.617764316822525,3
pathmnist,0.5,fedpac,60,73.76085834520443,11.388303439935662,3
pathmnist,0.5,fedpac,75,75.27102091888919,6.336614510393938,3
pathmnist,0.5,fedpac,90,77.51164162326779,7.294871571033695,3
pathmnist,0.5,fedpac,105,72.37759752225134,6.324113656135947,3
pathmnist,0.5,fedpac,120,71.33316530156502,17.6428178799573,3
pathmnist,0.5,fedpac,135,79.75722108550235,6.842110759752156,3
pathmnist,0.5,fedpac,150,78.04786997106939,8.288472902429868,3
pathmnist,0.5,fedpac,165,79.42004141370967,6.5260191916317245,3
pathmnist,0.5,fedpac,180,74.73060140344926,6.939719309594912,3
pathmnist,0.5,fedpac,195,82.91318843207631,7.313465349320493,3
pathmnist,0.5,fedpac,210,82.84813385998415,7.858015327687611,3
pathmnist,0.5,fedpac,225,82.81964329112806,7.037914139628344,3
pathmnist,0.5,fedpac,240,83.30575481849735,7.044129120476998,3
pathmnist,0.5,fedpac,255,83.14431517985255,7.315728997606743,3
pathmnist,0.5,fedpac,270,83.17118305807261,7.493943572452084,3
pathmnist,0.5,fedpac,285,83.29762777313515,7.223376438273874,3
pathmnist,0.5,fedpac,300,83.67105025033656,6.457634385930644,3
pathmnist,0.5,fedsa,1,21.18412204250669,5.494082956003282,3
pathmnist,0.5,fedsa,15,53.309969011964704,3.4422779659413747,3
pathmnist,0.5,fedsa,30,55.64265617126375,10.131979018229035,3
pathmnist,0.5,fedsa,45,57.170292299267395,8.710809084301864,3
pathmnist,0.5,fedsa,60,55.15522121309242,6.5952535245913815,3
pathmnist,0.5,fedsa,75,62.74756896360809,8.744182889943106,3
pathmnist,0.5,fedsa,90,61.95395597850368,8.871128094076832,3
